Location,Premium,Brand_Model,Bluk_Price_DP,Year,Bluk_2,Url
"location_on
Kafr El Sheikh
, Down Town",Premium,سياره شيرى تيجو 7 2022فابؤيكا بالكامل رخصه سنه هاى لاين,"سياره شيرى تيجو 7 2022فابؤيكا بالكامل رخصه سنه هاى لاين
850,000EGP
Min. DP:425,000EGP",2022,"Chery
Tiggo 7
2022
Used
28,000
km
Automatic
almost new
for Exchange
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/chery-tiggo_7/d9d2ac98918647f7921bb68e94c47b65?status=Used
"location_on
Cairo
, Waili",Premium,تيجو 3 ابيض 2022,"تيجو 3 ابيض 2022

1.6 A/T Tinted Glass FL

795,000EGP
Min. DP:397,500EGP",2022,"Chery
Tiggo 3
2022
Used
19,838
km
Automatic
almost new",https://www.contactcars.com/en/used-cars/chery-tiggo_3/7cfbbd9fc2da4ead9cc34b09394d86a7?status=Used?dealer=1519451
"location_on
Cairo
, Nasr City",Premium,شيري تيجو 7,"شيري تيجو 7

1.5 A/T Baseline

Down Payment336,000EGP",2021,"Chery
Tiggo 7
2021
Used
41,000
km
Automatic",https://www.contactcars.com/en/used-cars/chery-tiggo_7/1e63eb1e96c94702b7b8368536f19d1c?status=Used?dealer=1519538
"location_on
Cairo
, Nasr City",Premium,شيري تيجو 3 2019,"شيري تيجو 3 2019
Down Payment168,000EGP",2019,"Chery
Tiggo 3
2019
Used
151,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/chery-tiggo_3/7a4264976e7d4da99433748af66b799c?status=Used?dealer=1519538
"location_on
Giza
, Sheikh Zayed",Premium,tiggo 3+ ford kuga,"tiggo 3+ ford kuga
700,000EGP",2021,"Chery
Tiggo
2021
Used
104,000
km
Automatic
Fabrika In&Out",https://www.contactcars.com/en/used-cars/chery-tiggo/218d355ffc584a5fb8c971ee23874689?status=Used
"location_on
Eastern
, Zagazig",Premium,تيجو 7 فوق الممتاذ بفضل الله,"تيجو 7 فوق الممتاذ بفضل الله

1.5 A/T T-6DCT BASELINE

900,000EGP",2023,"Chery
Tiggo 7
2023
Used
37,000
km
Automatic
almost new
Fabrika In&Out",https://www.contactcars.com/en/used-cars/chery-tiggo_7/38a31e13d8e34968abcf7d66fea3aa52?status=Used
"location_on
Giza
, Sheikh Zayed",Premium,تيجو 7 موديل 2022 بحاله ممتازه جدا,"تيجو 7 موديل 2022 بحاله ممتازه جدا
890,000EGP
Min. DP:445,000EGP",2022,"Chery
Tiggo 7
2022
Used
52,000
km
Automatic
almost new
In Warranty
Fabrika In&Out",https://www.contactcars.com/en/used-cars/chery-tiggo_7/2cd4320f3f5f4b07bade4dd16fc75699?status=Used
"location_on
Cairo
, Waili",Premium,اريزو 5 M نبيتي 2023,"اريزو 5 M نبيتي 2023

1.5 M/T BASELINE Leather

560,000EGP",2023,"Chery
ARRIZO 5
2023
Used
64,504
km
Manual
almost new",https://www.contactcars.com/en/used-cars/chery-arrizo_5/a18e365b11b247e1902efe754d3441ec?status=Used?dealer=1519451
"location_on
Cairo
, Waili",Premium,اريزو 5 HL سماوي 2023,"اريزو 5 HL سماوي 2023

1.5 A/T CVT HIGHLINE

715,000EGP
Min. DP:357,500EGP",2023,"Chery
ARRIZO 5
2023
Used
3,843
km
Automatic
almost new",https://www.contactcars.com/en/used-cars/chery-arrizo_5/9acda82de80c4292abaad723747b3f59?status=Used?dealer=1519451
"location_on
Cairo
, Waili",Premium,شيري اريزو 5,"شيري اريزو 5

1.5 A/T Baseline Leather

565,000EGP
Min. DP:282,500EGP",2021,"Chery
ARRIZO 5
2021
Used
55,583
km
Automatic
almost new",https://www.contactcars.com/en/used-cars/chery-arrizo_5/b592988376e9428998fc7d1fd3a0ae81?status=Used?dealer=1519451
